벴,表
벵,规
벼,抹
벽,卦
변,坷
별,坯
볍,拓
볏,拢
볐,拔
병,坪
볕,拣
볘,坦
볜,担
보,坤
복,押
볶,抽
본,拐
볼,拖
봄,者
봅,拍
봇,顶
봉,拆
봐,拎
봔,拥
봤,抵
봬,拘
뵀,势
뵈,抱
뵉,拄
뵌,垃
뵐,拉
뵘,拦
뵙,幸
뵤,拌
뵨,拧
부,拂
북,拙
분,招
붇,坡
불,披
붉,拨
붊,择
붐,抬
붑,拇
붓,拗
붕,其
붙,取
붚,茉
붜,苦
붤,昔
붰,苛
붸,若
뷔,茂
뷕,苹
뷘,苗
뷜,英
뷩,苟
뷰,苑
뷴,苞
뷸,范
븀,直
븃,茁
븅,茄
브,茎
븍,苔
븐,茅
블,枉
븜,林
븝,枝
븟,杯
비,枢
빅,柜
빈,枚
빌,析
빎,板
빔,松
빕,枪
빗,枫
빙,构
빚,杭
빛,杰
빠,述
빡,枕
빤,丧
빨,或
빪,画
빰,卧
빱,事
빳,刺
빴,枣
빵,雨
빻,卖
빼,郁
빽,矾
뺀,矿
뺄,码
뺌,厕
뺍,奈
뺏,奔
뺐,奇
뺑,奋
뺘,态
뺙,欧
뺨,殴
뻐,垄
뻑,妻
뻔,轰
뻗,顷
뻘,转
뻠,斩
뻣,轮
뻤,软
뻥,到
뻬,非
뼁,叔
뼈,歧
뼉,肯
뼘,齿
뼙,些
뼛,卓
뼜,虎
뼝,虏
뽀,肾
뽁,贤
뽄,尚
뽈,旺
뽐,具
뽑,味
뽕,果
뾔,昆
뾰,国
뿅,哎
뿌,咕
뿍,昌
뿐,呵
뿔,畅
뿜,明
뿟,易
뿡,咙
쀼,昂
쁑,迪
쁘,典
쁜,固
쁠,忠
쁨,呻
쁩,咒
삐,咋
삑,咐
삔,呼
삘,鸣
삠,咏
삡,呢
삣,咄
삥,咖
사,岸
삭,岩
삯,帖
산,罗
삳,帜
살,帕
삵,岭
삶,凯
삼,败
삽,账
삿,贩
샀,贬
상,购
샅,贮
새,图
색,钓
샌,制
샐,知
샘,迭
샙,氛
샛,垂
샜,牧
생,物
샤,乖
샥,刮
샨,秆
샬,和
샴,季
샵,委
샷,秉
샹,佳
섀,侍
섄,岳
섈,供
섐,使
섕,例
서,侠
석,侥
섞,版
섟,侄
선,侦
섣,侣
설,侧
섦,凭
섧,侨
섬,佩
섭,货
섯,侈
섰,依
성,卑
섶,的
세,迫
섹,质
센,欣
셀,征
셈,往
셉,爬
셋,彼
셌,径
셍,所
셔,舍
셕,金
션,刹
셜,命
셤,肴
셥,斧
셧,爸
셨,采
셩,觅
셰,受
셴,乳
셸,贪
솅,念
소,贫
속,忿
솎,肤
손,肺
솔,肢
솖,肿
솜,胀
솝,朋
솟,股
송,肮
솥,肪
솨,肥
솩,服
솬,胁
솰,周
솽,昏
쇄,鱼
쇈,兔
쇌,狐
쇔,忽
쇗,狗
쇘,狞
쇠,备
쇤,饰
쇨,饱
쇰,饲
쇱,变
쇳,京
쇼,享
쇽,庞
숀,店
숄,夜
숌,庙
숍,府
숏,底
숑,疟
수,疙
숙,疚
순,剂
숟,卒
술,郊
숨,庚
숩,废
숫,净
숭,盲
숯,放
숱,刻
숲,育
숴,氓
쉈,闸
쉐,闹
쉑,郑
쉔,券
쉘,卷
쉠,单
쉥,炬
쉬,炒
쉭,炊
쉰,炕
쉴,炎
쉼,炉
쉽,沫
쉿,浅
슁,法
슈,泄
슉,沽
슐,河
슘,沾
슛,泪
슝,沮
스,油
슥,泊
슨,沿
슬,泡
슭,注
슴,泣
습,泞
슷,泻
승,泌
시,泳
식,泥
신,沸
싣,沼
실,波
싫,泼
심,泽
십,治
싯,怔
싱,怯
싶,怖
싸,性
싹,怕
